,Name,MC,MP
0,BitcoinBTC,"129,338,778,010,733",59.69%
1,EthereumETH,"39,849,351,849,016",18.39%
2,Tether USDtUSDT,"9,982,521,539,588",4.61%
3,BNBBNB,"8,524,316,775,695",3.93%
4,SolanaSOL,"7,209,310,216,495",3.33%
5,XRPXRP,"3,173,710,583,109",1.46%
6,USDCUSDC,"2,998,836,267,585",1.38%
7,DogecoinDOGE,"2,629,829,541,286",1.21%
8,ToncoinTON,"2,413,921,095,125",1.11%
9,CardanoADA,"1,944,054,658,331",0.9%
10,AvalancheAVAX,"1,642,585,710,816",0.76%
11,Shiba InuSHIB,"1,521,773,635,985",0.7%
12,Bitcoin CashBCH,"1,130,703,878,747",0.52%
13,PolkadotDOT,"1,119,088,783,899",0.52%
14,TRONTRX,"978,465,055,688",0.45%
15,ChainlinkLINK,"949,766,677,298",0.44%
16,PolygonMATIC,"814,932,810,695",0.38%
17,NEAR ProtocolNEAR,"691,427,967,672",0.32%
18,Internet ComputerICP,"686,047,240,918",0.32%
19,LitecoinLTC,"672,696,696,558",0.31%
20,UniswapUNI,"525,913,132,159",0.24%
21,UNUS SED LEOLEO,"514,151,714,538",0.24%
22,DaiDAI,"497,721,023,451",0.23%
23,Ethereum ClassicETC,"457,725,938,121",0.21%
24,AptosAPT,"453,162,729,815",0.21%
25,FilecoinFIL,"424,860,636,265",0.2%
26,StacksSTX,"414,035,515,220",0.19%
27,MantleMNT,"395,963,136,727",0.18%
28,CosmosATOM,"394,130,045,180",0.18%
29,CronosCRO,"362,583,400,624",0.17%
30,ArbitrumARB,"359,794,908,026",0.17%
31,BittensorTAO,"352,893,004,176",0.16%
32,StellarXLM,"349,632,858,012",0.16%
33,ImmutableIMX,"348,114,670,852",0.16%
34,dogwifhatWIF,"343,277,129,942",0.16%
35,HederaHBAR,"337,603,191,122",0.16%
36,RenderRNDR,"321,857,197,581",0.15%
37,OKBOKB,"320,246,026,519",0.15%
38,VeChainVET,"320,557,966,455",0.15%
39,First Digital USDFDUSD,"307,024,403,797",0.14%
40,KaspaKAS,"308,119,363,829",0.14%
41,MakerMKR,"292,221,362,109",0.13%
42,InjectiveINJ,"288,937,783,742",0.13%
43,OptimismOP,"286,236,185,468",0.13%
44,The GraphGRT,"282,570,777,951",0.13%
45,Theta NetworkTHETA,"276,565,984,410",0.13%
46,PepePEPE,"276,504,289,326",0.13%
47,FantomFTM,"255,703,967,125",0.12%
48,THORChainRUNE,"231,535,833,434",0.11%
49,MoneroXMR,"229,818,888,377",0.11%
50,Lido DAOLDO,"215,069,207,665",0.1%
51,Fetch.aiFET,"207,273,557,657",0.1%
52,EthenaENA,"191,382,274,563",0.09%
53,ArweaveAR,"188,485,732,945",0.09%
54,CoreCORE,"185,688,570,271",0.09%
55,CelestiaTIA,"185,981,154,027",0.09%
56,SuiSUI,"183,239,354,771",0.08%
57,FLOKIFLOKI,"174,881,291,460",0.08%
58,AlgorandALGO,"174,076,776,779",0.08%
59,GalaGALA,"173,586,146,516",0.08%
60,AaveAAVE,"171,766,163,390",0.08%
61,Bitcoin SVBSV,"171,723,145,186",0.08%
62,JupiterJUP,"169,848,246,477",0.08%
63,FlowFLOW,"169,188,648,658",0.08%
64,Bitget TokenBGB,"168,365,329,087",0.08%
65,SeiSEI,"166,479,406,485",0.08%
66,PendlePENDLE,"158,248,461,038",0.07%
67,BeamBEAM,"154,417,303,524",0.07%
68,ORDIORDI,"150,928,514,317",0.07%
69,NeoNEO,"148,987,748,550",0.07%
70,WormholeW,"136,501,919,672",0.06%
71,BonkBONK,"134,216,684,567",0.06%
72,Nervos NetworkCKB,"132,840,845,956",0.06%
73,BitTorrent (New)BTT,"133,920,537,857",0.06%
74,FlareFLR,"132,600,582,720",0.06%
75,MultiversXEGLD,"132,540,525,877",0.06%
76,QuantQNT,"130,883,444,433",0.06%
77,dYdX (Native)DYDX,"130,434,888,310",0.06%
78,eCashXEC,"130,207,765,603",0.06%
79,The SandboxSAND,"129,434,944,716",0.06%
80,Axie InfinityAXS,"128,299,783,690",0.06%
81,StarknetSTRK,"126,870,273,579",0.06%
82,SingularityNETAGIX,"125,405,094,275",0.06%
83,ChilizCHZ,"122,313,648,393",0.06%
84,ConfluxCFX,"122,409,566,177",0.06%
85,SynthetixSNX,"120,419,134,248",0.06%
86,TezosXTZ,"116,050,187,009",0.05%
87,Pyth NetworkPYTH,"112,654,017,298",0.05%
88,EOSEOS,"111,525,212,450",0.05%
89,WorldcoinWLD,"111,740,851,118",0.05%
90,DecentralandMANA,"110,733,354,847",0.05%
91,RoninRON,"108,188,169,604",0.05%
92,JasmyCoinJASMY,"108,693,955,106",0.05%
93,MinaMINA,"104,900,391,804",0.05%
94,OndoONDO,"101,075,799,014",0.05%
95,SATS1000SATS,"96,007,050,104",0.04%
96,KavaKAVA,"94,327,539,573",0.04%
97,KuCoin TokenKCS,"93,845,844,116",0.04%
98,ApeCoinAPE,"93,431,822,516",0.04%
99,IOTAIOTA,"91,374,113,678",0.04%
